Bulan,Penumpang
2006-01-28,23008
2006-02-28,23410
2006-03-28,26132
2006-04-28,25314
2006-05-28,26624
2006-06-28,25858
2006-07-28,28174
2006-08-28,25982
2006-09-28,26366
2006-10-28,27898
2006-11-28,26738
2006-12-28,26688
2007-01-28,27294
2007-02-28,21518
2007-03-28,26334
2007-04-28,28378
2007-05-28,29878
2007-06-28,29640
2007-07-28,32184
2007-08-28,30288
2007-09-28,29584
2007-10-28,30930
2007-11-28,28282
2007-12-28,29532
2008-01-28,29394
2008-02-28,28232
2008-03-28,31512
2008-04-28,30870
2008-05-28,32108
2008-06-28,33272
2008-07-28,34926
2008-08-28,33539
2008-09-28,31208
2008-10-28,33802
2008-11-28,31392
2008-12-28,30022
2009-01-28,28492
2009-02-28,27186
2009-03-28,33652
2009-04-28,32916
2009-05-28,34934
2009-06-28,35492
2009-07-28,35918
2009-08-28,34408
2009-09-28,33680
2009-10-28,34876
2009-11-28,32868
2009-12-28,34421
2010-01-28,34078
2010-02-28,29760
2010-03-28,33234
2010-04-28,32312
2010-05-28,33130
2010-06-28,33616
2010-07-28,34362
2010-08-28,32280
2010-09-28,33426
2010-10-28,33084
2010-11-28,32176
2010-12-28,34598
2011-01-28,32892
2011-02-28,29038
2011-03-28,33168
2011-04-28,32062
2011-05-28,34036
2011-06-28,33612
2011-07-28,35264
2011-08-28,28984
2011-09-28,32706
2011-10-28,32124
2011-11-28,31530
2011-12-28,32666
2012-01-28,31602
2012-02-28,30252
2012-03-28,33402
2012-04-28,32752
2012-05-28,34802
2012-06-28,35374
2012-07-28,35912
2012-08-28,33350
2012-09-28,32126
2012-10-28,33656
2012-11-28,30872
2012-12-28,31490
2013-01-28,29146
2013-02-28,28630
2013-03-28,31042
2013-04-28,31448
2013-05-28,31590
2013-06-28,33864
2013-07-28,39834
2013-08-28,38062
2013-09-28,38878
2013-10-28,40396
2013-11-28,39156
2013-12-28,41984
2014-01-28,41396
2014-02-28,39256
2014-03-28,44854
2014-04-28,43004
2014-05-28,45094
2014-06-28,46830
2014-07-28,44250
2014-08-28,45526
2014-09-28,46438
2014-10-28,49006
2014-11-28,47972
2014-12-28,51582
2015-01-28,48508
2015-02-28,44788
2015-03-28,53682
2015-04-28,52300
2015-05-28,54900
2015-06-28,54236
2015-07-28,54154
2015-08-28,54702
2015-09-28,54250
2015-10-28,56560
2015-11-28,54506
2015-12-28,58656
2016-01-28,55772
2016-02-28,52116
2016-03-28,56312
2016-04-28,56000
2016-05-28,60352
2016-06-28,57460
2016-07-28,56432
2016-08-28,58250
2016-09-28,58037
2016-10-28,59530
2016-11-28,58356
2016-12-28,63060
2017-01-28,60718
2017-02-28,53675
2017-03-28,63224
2017-04-28,61868
2017-05-28,66314
2017-06-28,60362
2017-07-28,67338
2017-08-28,66510
2017-09-28,63842
2017-10-28,68996
2017-11-28,67596
2017-12-28,72280
2018-01-28,68214
2018-02-28,61442
2018-03-28,70544
2018-04-28,70270
2018-05-28,69754
2018-06-28,64540
2018-07-28,72178
2018-08-28,69120
2018-09-28,67756
2018-10-28,71204
2018-11-28,69274
2018-12-28,74394
2019-01-28,68870
2019-02-28,62564
2019-03-28,70136
2019-04-28,70212
2019-05-28,69028
2019-06-28,68522
2019-07-28,76606
2019-08-28,69084
2019-09-28,69230
2019-10-28,71628
